,Zip,ICD10
1330,510,
1331,925,
1332,941,25219.0
1333,941,3299.0
1334,932,9181.0
1335,57,
1336,501,30418.0
1337,928,12900.0
1338,960,35557.0
1339,975,15397.0
1340,922,12682.0
1341,922,433.0
1342,913,23990.0
1343,913,27777.0
1344,770,108.0
1345,773,15092.0
1346,752,15236.0
1347,531,24980.0
1348,615,
1349,953,9788.0
1350,939,24854.0
1351,939,15191.0
1352,981,30459.0
1353,980,37672.0
1354,605,3299.0
1355,940,
1356,941,27819.0
1357,945,
1358,840,
1359,716,
1360,936,
1361,959,30350.0
1362,921,
1363,923,
1364,922,
1365,922,
1366,922,9181.0
1367,922,
1368,958,24241.0
1369,906,15222.0
1370,945,37201.0
1371,945,
1372,952,
1373,925,
1374,60,16918.0
1375,905,4350.0
1376,7,
1377,954,36562.0
1378,945,
1379,945,35904.0
1380,945,14976.0
1381,945,12931.0
1382,956,12898.0
1383,908,
1384,900,446.0
1385,902,17052.0
1386,928,15243.0
1387,907,37672.0
1388,906,108.0
1389,926,12894.0
1390,928,24239.0
1391,980,37684.0
1392,923,15236.0
1393,627,
1394,902,24980.0
1395,902,12681.0
1396,936,16961.0
1397,940,31716.0
1398,545,
1399,999,
1400,937,30423.0
1401,934,3269.0
1402,975,2977.0
1403,919,12306.0
1404,902,466.0
1405,902,37308.0
1406,902,16810.0
1407,906,
1408,900,3217.0
1409,953,15087.0
1410,953,36556.0
1411,953,7669.0
1412,940,
1413,950,12681.0
1414,940,16813.0
1415,944,9799.0
1416,921,15243.0
1417,953,27821.0
1418,953,34177.0
1419,940,7669.0
1420,953,15250.0
1421,950,
1422,944,27820.0
1423,932,37707.0
1424,932,3383.0
1425,934,30753.0
1426,939,37175.0
1427,950,242.0
1428,939,35650.0
1429,930,24804.0
1430,926,27819.0
1431,926,8989.0
1432,566,
1433,902,24960.0
1434,925,7992.0
1435,906,3414.0
1436,945,8997.0
1437,945,37215.0
1438,953,108.0
1439,953,15094.0
1440,941,
1441,931,
1442,951,27783.0
1443,951,
1444,950,3299.0
1445,951,
1446,951,15250.0
1447,936,9181.0
1448,936,12780.0
1449,282,12898.0
1450,980,13002.0
1451,113,108.0
1452,371,108.0
1453,371,32847.0
1454,390,585.0
1455,917,9792.0
1456,926,34261.0
1457,862,
1458,881,27812.0
1459,881,16823.0
1460,881,32847.0
1461,460,30564.0
1462,52,
1463,950,36559.0
1464,950,447.0
1465,940,27820.0
1466,945,24244.0
1467,941,277.0
1468,941,15090.0
1469,941,15066.0
1470,941,9139.0
1471,941,16821.0
1472,940,28499.0
1473,968,
1474,852,28434.0
1475,949,36562.0
1476,949,15090.0
1477,17,30396.0
1478,805,2865.0
1479,913,24854.0
1480,914,
1481,915,
1482,913,38362.0
1483,900,36562.0
1484,913,15090.0
1485,920,27789.0
1486,851,16944.0
1487,930,2839.0
1488,982,36562.0
1489,524,
1490,371,
1491,370,4483.0
1492,300,27819.0
1493,406,
1494,300,37352.0
1495,917,36562.0
1496,300,31706.0
1497,757,108.0
1498,362,
1499,355,
1500,411,
1501,420,
1502,364,
1503,426,
1504,940,
1505,945,15104.0
1506,499,
1507,917,
1508,926,267.0
1509,970,16918.0
1510,900,409.0
1511,900,28499.0
1512,926,
1513,953,36562.0
1514,774,9799.0
1515,959,
1516,280,15092.0
1517,280,3838.0
1518,281,2865.0
1519,928,25069.0
1520,956,28426.0
1521,956,12558.0
1522,952,108.0
1523,958,27813.0
1524,956,8998.0
1525,956,37201.0
1526,956,12912.0
1527,956,
1528,956,
1529,920,30401.0
1530,908,
1531,908,32847.0
1532,921,12893.0
1533,908,
1534,933,
1535,933,34392.0
1536,933,39740.0
1537,447,
1538,84,
1539,997,
1540,163,
1541,279,
1542,737,
1543,448,
1544,255,
1545,407,
1546,332,
1547,370,3299.0
1548,836,37672.0
1549,303,24980.0
1550,253,
1551,681,5808.0
1552,106,108.0
1553,357,27783.0
1554,358,15092.0
1555,357,28426.0
1556,257,
1557,246,
1558,256,
1559,266,
1560,567,
1561,643,
1562,930,24810.0
1563,746,
1564,244,
1565,920,12909.0
1566,960,9423.0
1567,960,12749.0
1568,959,17601.0
1569,960,12780.0
1570,960,3284.0
1571,950,37201.0
1572,902,15379.0
1573,900,9792.0
1574,913,12681.0
1575,38,15066.0
1576,224,
1577,306,
1578,800,27794.0
1579,70,15576.0
1580,100,39792.0
1581,102,
1582,118,
1583,236,25069.0
1584,276,16963.0
1585,300,3217.0
1586,920,8969.0
1587,917,9137.0
1588,950,12898.0
1589,950,108.0
1590,935,12685.0
1591,906,36562.0
1592,907,27818.0
1593,950,
1594,902,15386.0
1595,907,30418.0
1596,6,
1597,17,9295.0
1598,22,
1599,717,
1600,726,
1601,769,
1602,960,12685.0
1603,952,23066.0
1604,939,108.0
1605,939,12893.0
1606,939,9161.0
1607,939,3299.0
1608,941,
1609,951,2865.0
1610,941,2750.0
1611,946,
1612,946,36562.0
1613,951,31706.0
1614,943,28718.0
1615,940,3318.0
1616,946,2936.0
1617,952,23712.0
1618,958,37175.0
1619,958,8984.0
1620,956,975.0
1621,945,23712.0
1622,926,15512.0
1623,973,12309.0
1624,972,
1625,920,8989.0
1626,925,9792.0
1627,68,
1628,922,39677.0
1629,922,34177.0
1630,907,16824.0
1631,906,17601.0
1632,902,16944.0
1633,907,2835.0
1634,900,
1635,907,
1636,601,
1637,905,
1638,905,12893.0
1639,905,27794.0
1640,900,12722.0
1641,902,9012.0
1642,923,36562.0
1643,923,9254.0
1644,900,15386.0
1645,917,28887.0
1646,917,15357.0
1647,941,15308.0
1648,940,
1649,665,37339.0
1650,900,
1651,913,37272.0
1652,937,
1653,932,
1654,932,
1655,357,12682.0
1656,358,36562.0
1657,358,9253.0
1658,357,28420.0
1659,357,37649.0
1660,352,38026.0
1661,357,37715.0
1662,358,34172.0
1663,358,37715.0
1664,357,28417.0
1665,358,37713.0
1666,303,4469.0
1667,669,
1668,58,
1669,243,
1670,44,
1671,922,8989.0
1672,922,108.0
1673,917,
1674,327,
1675,327,12894.0
1676,328,25110.0
1677,347,23694.0
1678,614,
1679,773,108.0
1680,950,
1681,15,12893.0
1682,25,27820.0
1683,77,15655.0
1684,77,15069.0
1685,77,34175.0
1686,77,9809.0
1687,950,15077.0
1688,863,12736.0
1689,863,24980.0
1690,863,31817.0
1691,860,12931.0
1692,863,37077.0
1693,857,
1694,852,12319.0
1695,593,
1696,836,24003.0
1697,920,15087.0
1698,21,13011.0
1699,44,37290.0
1700,193,446.0
1701,194,37672.0
1702,228,3410.0
1703,284,37672.0
1704,284,12897.0
1705,302,15069.0
1706,531,
1707,600,395.0
1708,953,3358.0
1709,953,12682.0
1710,953,12894.0
1711,953,15542.0
1712,787,9810.0
1713,950,
1714,928,9013.0
1715,922,16961.0
1716,941,27818.0
1717,957,19314.0
1718,900,13137.0
1719,952,28431.0
1720,952,19314.0
1721,556,
1722,934,9792.0
1723,891,3935.0
1724,513,
1725,950,37079.0
1726,960,15104.0
1727,960,12275.0
1728,928,34169.0
1729,907,4397.0
1730,907,37705.0
1731,908,31706.0
1732,921,
1733,963,
1734,923,38571.0
1735,940,37506.0
1736,122,9130.0
1737,945,31714.0
1738,920,9782.0
1739,927,9783.0
1740,926,108.0
1741,920,23977.0
1742,774,17046.0
1743,915,12558.0
1744,913,15092.0
1745,930,32867.0
1746,588,
1747,736,
1748,922,16823.0
1749,922,3006.0
1750,922,24980.0
1751,933,3285.0
1752,334,15231.0
1753,926,16813.0
1754,937,100.0
1755,922,34167.0
1756,922,9782.0
1757,922,16844.0
1758,922,23130.0
1759,572,
1760,925,3217.0
1761,928,27820.0
1762,919,
1763,919,27818.0
1764,919,15090.0
1765,921,24016.0
1766,921,30418.0
1767,937,37506.0
1768,936,4440.0
1769,936,8978.0
1770,932,9252.0
1771,926,3842.0
1772,236,9792.0
1773,922,
1774,129,
1775,930,4443.0
1776,930,37284.0
1777,930,15092.0
1778,930,3477.0
1779,930,976.0
1780,930,3284.0
1781,930,
1782,930,24016.0
1783,930,37642.0
1784,930,3241.0
1785,930,30418.0
1786,913,34177.0
1787,930,27820.0
1788,930,32847.0
1789,930,27823.0
1790,649,
1791,945,
1792,954,8918.0
1793,954,268.0
1794,930,27818.0
1795,945,4102.0
1796,870,25109.0
1797,945,9792.0
1798,377,
1799,953,24981.0
1800,850,15087.0
1801,850,36557.0
1802,850,15092.0
1803,890,36562.0
1804,913,36562.0
1805,342,31714.0
1806,941,37334.0
1807,981,9285.0
1808,215,
1809,906,27794.0
1810,925,
1811,786,34167.0
1812,156,15242.0
1813,333,
1814,716,8999.0
1815,716,
1816,716,27795.0
1817,956,2865.0
1818,959,24014.0
1819,597,
1820,175,31718.0
1821,959,9787.0
1822,945,34259.0
1823,959,15357.0
1824,959,12275.0
1825,950,
1826,950,32847.0
1827,950,24406.0
1828,950,37325.0
1829,60,
1830,906,13071.0
1831,902,27795.0
1832,900,27818.0
1833,900,107.0
1834,908,12999.0
1835,917,
1836,912,24241.0
1837,891,19317.0
1838,913,9805.0
1839,117,15243.0
1840,958,
1841,958,34199.0
1842,953,37703.0
1843,90,
1844,925,12774.0
1845,922,28418.0
1846,922,9151.0
1847,922,39740.0
1848,922,8930.0
1849,913,25068.0
1850,919,
1851,917,
1852,902,4155.0
1853,945,
1854,945,19312.0
1855,956,
1856,972,
1857,981,3934.0
1858,300,108.0
1859,369,
1860,320,31706.0
1861,923,27820.0
1862,907,4507.0
1863,72,
1864,88,16812.0
1865,88,27812.0
1866,89,27820.0
1867,461,32847.0
1868,906,34175.0
1869,925,15191.0
1870,334,106.0
1871,801,960.0
1872,920,17072.0
1873,800,36558.0
1874,786,37503.0
1875,247,
1876,642,
1877,940,30350.0
1878,709,
1879,143,
1880,951,448.0
1881,951,27813.0
1882,950,37684.0
1883,950,37672.0
1884,958,
1885,956,31714.0
1886,956,38390.0
1887,956,37504.0
1888,958,3127.0
1889,934,12900.0
1890,934,34172.0
1891,934,9136.0
1892,956,16823.0
1893,956,9792.0
1894,956,3256.0
1895,956,
1896,956,13002.0
1897,956,15359.0
1898,952,16836.0
1899,949,37351.0
1900,940,15066.0
1901,853,8918.0
1902,390,30419.0
1903,390,108.0
1904,390,37687.0
1905,392,15109.0
1906,902,37853.0
1907,752,15094.0
1908,928,15094.0
1909,19,15094.0
1910,907,24239.0
1911,907,25043.0
1912,906,
1913,928,12681.0
1914,930,37272.0
1915,906,24981.0
1916,937,15293.0
1917,984,7667.0
1918,941,15222.0
1919,606,24960.0
1920,941,24012.0
1921,810,37287.0
1922,157,
1923,928,
1924,632,
1925,551,32847.0
