ICD10,ICD10_Numeric
00HU4MZ,1503
00HV02Z,1504
00HV0MZ,1505
00HV32Z,1506
00HV3MZ,1507
00HV42Z,1508
00HV4MZ,1509
00JU0ZZ,1510
00JU3ZZ,1511
00JU4ZZ,1512
00JV0ZZ,1513
00JV3ZZ,1514
00JV4ZZ,1515
00NT0ZZ,1516
00NT3ZZ,1517
00NT4ZZ,1518
00NW0ZZ,1519
00NW3ZZ,1520
00NW4ZZ,1521
00NX0ZZ,1522
00NX3ZZ,1523
00NX4ZZ,1524
00NY0ZZ,1525
00NY3ZZ,1526
00NY4ZZ,1527
00PU00Z,1528
00PU02Z,1529
00PU03Z,1530
00PU0JZ,1531
00PU0MZ,1532
00PU30Z,1533
00PU32Z,1534
00PU33Z,1535
00PU3JZ,1536
00PU3MZ,1537
00PU40Z,1538
00PU42Z,1539
00PU43Z,1540
00PU4JZ,1541
00PU4MZ,1542
00PV00Z,1543
00PV02Z,1544
00PV03Z,1545
00PV07Z,1546
00PV0JZ,1547
00PV0KZ,1548
00PV0MZ,1549
00PV30Z,1550
00PV32Z,1551
00PV33Z,1552
00PV37Z,1553
00PV3JZ,1554
00PV3KZ,1555
00PV3MZ,1556
00PV40Z,1557
00PV42Z,1558
00PV43Z,1559
00PV47Z,1560
00PV4JZ,1561
00PV4KZ,1562
00PV4MZ,1563
00QT0ZZ,1564
00QT3ZZ,1565
00QT4ZZ,1566
00QW0ZZ,1567
00QW3ZZ,1568
00QW4ZZ,1569
00QX0ZZ,1570
00QX3ZZ,1571
00QX4ZZ,1572
00QY0ZZ,1573
00QY3ZZ,1574
00QY4ZZ,1575
00SW0ZZ,1576
00SW3ZZ,1577
00SW4ZZ,1578
00SX0ZZ,1579
00SX3ZZ,1580
00SX4ZZ,1581
00SY0ZZ,1582
00SY3ZZ,1583
00SY4ZZ,1584
00UT07Z,1585
00UT0JZ,1586
00UT0KZ,1587
00UT37Z,1588
00UT3JZ,1589
00UT3KZ,1590
00UT47Z,1591
00UT4JZ,1592
00UT4KZ,1593
00WU00Z,1594
00WU02Z,1595
00WU03Z,1596
00WU0JZ,1597
00WU0MZ,1598
00WU30Z,1599
00WU32Z,1600
00WU33Z,1601
00WU3JZ,1602
00WU3MZ,1603
00WU40Z,1604
00WU42Z,1605
00WU43Z,1606
00WU4JZ,1607
00WU4MZ,1608
00WV00Z,1609
00WV02Z,1610
00WV03Z,1611
00WV07Z,1612
00WV0JZ,1613
00WV0KZ,1614
00WV0MZ,1615
00WV30Z,1616
00WV32Z,1617
00WV33Z,1618
00WV37Z,1619
00WV3JZ,1620
00WV3KZ,1621
00WV3MZ,1622
00WV40Z,1623
00WV42Z,1624
00WV43Z,1625
00WV47Z,1626
00WV4JZ,1627
00WV4KZ,1628
00WV4MZ,1629
01510ZZ,1630
01514ZZ,1631
01580ZZ,1632
01584ZZ,1633
015B0ZZ,1634
015B4ZZ,1635
015R0ZZ,1636
015R4ZZ,1637
01810ZZ,1638
01813ZZ,1639
01814ZZ,1640
01880ZZ,1641
01883ZZ,1642
01884ZZ,1643
018B0ZZ,1644
