PlcPolicyId,Cigna,Blue_Shield,Blue_Cross,Anthem,Aetna
7061238,,,,,1
7061518,,,,,1
7061757,,,,,1
7062070,,,,,1
7062518,,,,,1
7062926,,,,,1
7063148,,,,,1
7063188,,,,,1
7063474,,,,,1
7064680,,,,,1
7064872,,,,,1
7066335,,,,,1
7066953,,,,,1
7067014,,,,,1
7067526,,,,,1
7068099,,,,,1
7068155,,,,,1
7068356,,,,,1
7068533,,,,,1
7068883,,,,,1
7069392,,,,,1
7069450,,,,,1
7069930,,,,,1
7063108,,,,,1
7042312,,,,,1
7043087,,,,,1
7043932,,,,,1
7044039,,,,,1
7045438,,,,,1
7045717,,,,,1
7046617,,,,,1
7046640,,,,,1
7046826,,,,,1
7047022,,,,,1
7047297,,,,,1
7047810,,,,,1
7047915,,,,,1
7048137,,,,,1
7048245,,,,,1
7048390,,,,,1
7048704,,,,,1
7048885,,,,,1
7049089,,,,,1
7049127,,,,,1
7049163,,,,,1
7049221,,,,,1
7049475,,,,,1
7049485,,,,,1
7049697,,,,,1
7049761,,,,,1
7049994,,,,,1
7050108,,,,,1
7050215,,,,,1
7050860,,,,,1
7051099,,,,,1
7051531,,,,,1
7051645,,,,,1
7051652,,,,,1
7051707,,,,,1
7051725,,,,,1
7051924,,,,,1
7052366,,,,,1
7052470,,,,,1
7052669,,,,,1
7052674,,,,,1
7052752,,,,,1
7053088,,,,,1
7053178,,,,,1
7053254,,,,,1
7053275,,,,,1
7053629,,,,,1
7053811,,,,,1
7053825,,,,,1
7053889,,,,,1
7053896,,,,,1
7053946,,,,,1
7053991,,,,,1
7054147,,,,,1
7054294,,,,,1
7054625,,,,,1
7054917,,,,,1
7055044,,,,,1
7055100,,,,,1
7055181,,,,,1
7055463,,,,,1
7055569,,,,,1
7056305,,,,,1
7056473,,,,,1
7056640,,,,,1
7056695,,,,,1
7056823,,,,,1
7056873,,,,,1
7057522,,,,,1
7057529,,,,,1
7057542,,,,,1
7057625,,,,,1
7057719,,,,,1
7057727,,,,,1
7057730,,,,,1
7057736,,,,,1
7057804,,,,,1
7057829,,,,,1
7057848,,,,,1
7057854,,,,,1
7058031,,,,,1
7058100,,,,,1
7058367,,,,,1
7058451,,,,,1
7058477,,,,,1
7058849,,,,,1
7058873,,,,,1
7059007,,,,,1
7059011,,,,,1
7059166,,,,,1
7059214,,,,,1
7059307,,,,,1
7059477,,,,,1
7059538,,,,,1
7059560,,,,,1
7059587,,,,,1
7059758,,,,,1
7060761,,,,,1
7060945,,,,,1
7061235,,,,,1
7061347,,,,,1
7061349,,,,,1
7061887,,,,,1
7062212,,,,,1
7062472,,,,,1
7062504,,,,,1
7062713,,,,,1
7063006,,,,,1
7063086,,,,,1
7063195,,,,,1
7063364,,,,,1
7063523,,,,,1
7063582,,,,,1
7063653,,,,,1
7063839,,,,,1
7063911,,,,,1
7064074,,,,,1
7064277,,,,,1
7064546,,,,,1
7064639,,,,,1
7064708,,,,,1
7064919,,,,,1
7065472,,,,,1
7066581,,,,,1
7066606,,,,,1
7066999,,,,,1
7067102,,,,,1
7067741,,,,,1
7068840,,,,,1
7069058,,,,,1
7069198,,,,,1
7069209,,,,,1
7069324,,,,,1
7069399,,,,,1
7071224,,,,,1
7072148,,,,,1
7051247,,,,,1
7055844,,,,,1
7056733,,,,,1
7058438,,,,,1
7058872,,,,,1
7058999,,,,,1
7059927,,,,,1
7060335,,,,,1
7060345,,,,,1
7061459,,,,,1
7061966,,,,,1
7062023,,,,,1
7062737,,,,,1
7064129,,,,,1
7064176,,,,,1
7064387,,,,,1
7065322,,,,,1
7065414,,,,,1
7066178,,,,,1
7066674,,,,,1
7066854,,,,,1
7067215,,,,,1
7067856,,,,,1
7067925,,,,,1
7068269,,,,,1
7069217,,,,,1
7069234,,,,,1
7069772,,,,,1
7069871,,,,,1
7070085,,,,,1
7070351,,,,,1
7071053,,,,,1
